filename,ingredient_name,specifications,attribute,target,tolerance,sampling,testmethod
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,pesticides and Residues,0 ppm," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |",As requested,Hershey approved method or AOAC equivalent ]
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,Arsenic,0 ppm," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |",As requested,Hershey approved method or AOAC equivalent
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,Cadmium,0 ppm," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |",As requested,Hershey approved method or AOAC equivalent ]
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,Lead ],0 ppm," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |",As requested,Hershey approved method or AOAC equivalent
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,"Aflatoxin, total |",<= 5 ppb,Upper limit 5 ppb," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,[Mycotoxins OTHER THAN Aflatoxin,0 ppb,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |"," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalent
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,[Extraneous Material,[Free from adulterants,"Must conform with FDA Defect Action Levels (DALS) where applicable or Canadian equivalent (e.g., chocolate liquor, cocoa, wheat flour) 1"," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent I
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,[Foreign Material,[Free from adulterants,"Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |"," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,[Flavor/Odor,[No foreign taste or odor,Shall not differ significantly in similarity to control testing 1," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<A r<A r<A r<A r<",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey Sensory Evaluation IHershey Sensory Evaluation I
"Acid,Acetic-Subst1446.xlsx"," Acid, Acetic - SIF from Univar is actually Glacial Acetic Acid, USP - should the name be changed to help in flagging the concentration/risk? |", ANALYTICAL SPECIFICATIONS,Assay,[99.0 - 100.5 %,II," Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |Must conform to all applicable federal, state, and provincial laws, rules, regulations, codes, & guidelines |A r<A r<A r<A r<A r<A r<A r<A r<A r<A r<[Each Lot[Each Lot",Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalent IHershey approved method or AOAC equivalentHershey approved method or AOAC equivalentHershey Sensory Evaluation IHershey Sensory Evaluation IHershey approved method or AOAC equivalent 1Hershey approved method or AOAC equivalent 1
